id;isbn;title;year;author
B-001;978-0261102385;Володар Перснів;1954;Дж.Р.Р. Толкін
B-002;978-0007136599;Гобіт;1937;Дж.Р.Р. Толкін
B-003;978-0141187761;1984;1949;Джордж Орвелл
B-004;978-0060935467;Убити пересмішника;1960;Гарпер Лі
B-005;978-0451524935;451 градус за Фаренгейтом;1953;Рей Бредбері
B-006;978-0141439518;Гордість і упередження;1813;Джейн Остін
B-007;978-0743273565;Великий Гетсбі;1925;Френсіс Скотт Фіцджеральд
B-008;978-0316769488;Ловець у житі;1951;Джером Девід Селінджер
B-009;978-0439064873;Гаррі Поттер і таємна кімната;1998;Дж.К. Роулінг
B-010;978-0140283334;Бійцівський клуб;1996;Чак Паланік
B-011;978-0553103540;Гра престолів;1996;Джордж Р.Р. Мартін
B-012;978-1234567890;Збірка народних казок;1990
# Далі йдуть спеціально поламані рядки для перевірки нашого парсера
B-013;978-0000000000
B-014;978-1111111111;;1999;Анонім
B-015;978-2222222222;Книга з майбутнього;2030;Фантаст
B-016;978-3333333333;Стародавня книга;тисяча років тому;Історик
